Text;tag
Siang Dok, Saya mau tanya pd bulan desember akhir saya pernah positif covid dan sekarang saya mau daftar untuk vaksin covid apakah sudah bisa atau sudah di perbolehkan? terima kasih;Pasien
Siang Dok, Saya mau tanya pd bulan desember akhir saya pernah positif covid dan sekarang saya mau daftar untuk vaksin covid apakah sudah bisa atau sudah di perbolehkan? terima kasih;Kapan
Siang Dok, Saya mau tanya pd bulan desember akhir saya pernah positif covid dan sekarang saya mau daftar untuk vaksin covid apakah sudah bisa atau sudah di perbolehkan? terima kasih;Penyakit
Siang Dok, Saya mau tanya pd bulan desember akhir saya pernah positif covid dan sekarang saya mau daftar untuk vaksin covid apakah sudah bisa atau sudah di perbolehkan? terima kasih;Tindakan
Siang Dok, Saya mau tanya pd bulan desember akhir saya pernah positif covid dan sekarang saya mau daftar untuk vaksin covid apakah sudah bisa atau sudah di perbolehkan? terima kasih;Pertanyaan
Halo Ibu;Pembuka
Saya mengerti keluhan yang disampaikan dan kekhawatiran Anda.;Pembuka 
Sesuai dengan rekomendasi Vaksin Covid-19 dari PAPDI (Perhimpunan Dokter Spesialis Penyakit Dalam Indonesia), bagi penyintas covid tetap dianjurkan untuk melakukan vaksinasi minimal 3 bulan setelah sembuh. ;Pasien
Sesuai dengan rekomendasi Vaksin Covid-19 dari PAPDI (Perhimpunan Dokter Spesialis Penyakit Dalam Indonesia), bagi penyintas covid tetap dianjurkan untuk melakukan vaksinasi minimal 3 bulan setelah sembuh. ;Tindakan
Sesuai dengan rekomendasi Vaksin Covid-19 dari PAPDI (Perhimpunan Dokter Spesialis Penyakit Dalam Indonesia), bagi penyintas covid tetap dianjurkan untuk melakukan vaksinasi minimal 3 bulan setelah sembuh. ;Prakondisi
Terima kasih sudah berkonsultasi melalui fitur Tanya Dokter. ;Penutup
Jangan ragu untuk kembali berkonsultasi jika masih ada keluhan lainnya, ya.  ;Penutup
Ibu dapat juga berkonsultasi melalui Aplikasi KlikDokter kapan pun dan di mana pun dengan men-download aplikasi Klikdokter melakui Play Store/ Android: https://www.klikdokter.com/download-App Store : https://app.adjust.com/n01yug7  ;Penutup
Semoga sehat selalu/semoga lekas membaik.;Penutup
